X Y Z x1 y1 x2 y2 x3 y3 x4 y4
3.4907 -2.9336 6.9018 842.6827 276.4919 657.3728 282.1242 640.9319 368.6729 879.2919 370.1479
-20.1397 -0.2984 5.9171 357.2286 345.1219 194.5892 344.1102 192.8657 427.5387 378.8534 421.0335
-25.0739 4.4485 -0.5335 193.3283 490.5763 163.6050 481.7943 189.0504 499.9849 189.7100 495.2357
-12.0532 -11.9342 0.6496 431.6780 106.6833 447.5665 113.1561 380.2666 137.1499 516.6236 126.9476
-19.6863 4.9672 -0.1315 311.4623 498.9283 260.8601 492.7607 289.1035 513.0985 304.8197 509.8551
-12.6700 0.4057 8.4347 542.9444 346.6887 307.8090 347.8340 310.1444 455.4856 560.6936 452.0553
19.7202 -9.1227 -3.1751 1023.8897 191.1825 1121.3019 196.7202 1072.7609 169.5115 1095.3696 184.5305
7.0882 2.4382 -7.4496 760.6605 471.5024 881.3675 480.2348 894.4634 414.8933 767.2833 417.2480
9.8925 -4.4579 0.6776 891.4171 274.7877 863.7623 281.5455 839.4184 299.7593 936.4827 305.0964
-8.3104 -0.7769 -8.6670 431.5797 409.1422 598.2502 410.7450 593.9934 339.6837 455.7316 335.7731
-8.0734 -3.8060 4.3830 577.8990 271.2316 458.7758 274.8645 437.2271 338.3051 618.9437 334.4236
-19.3208 -11.1133 -3.3292 239.9396 147.2034 351.1790 153.1752 288.5225 139.2256 319.0889 122.9192
-4.6804 -12.7283 -5.6580 506.5927 124.1275 667.5510 129.5551 597.6416 85.3770 595.5317 81.0366
-1.5070 -2.1367 -0.9752 652.6355 337.0457 647.2097 341.6139 635.3885 346.9251 684.4041 346.2330
13.0057 -3.6596 -5.3238 884.1621 323.7263 993.4387 332.1690 973.8597 286.2591 924.5169 293.5142
22.2764 0.1369 2.5029 1166.7890 366.1928 1085.2810 378.9312 1086.0169 412.4038 1186.0031 419.8937
-23.4790 0.6925 4.6919 276.1604 375.2941 142.1145 372.0681 146.1194 443.7786 292.4227 436.8844
-19.7304 -10.0528 2.2513 297.3689 140.2913 274.3741 146.5292 216.8668 190.3354 371.6237 175.4147
-8.7982 -6.8406 6.1136 574.9517 192.4604 432.5093 197.2037 393.5687 278.5744 632.9039 273.3738
9.4256 1.8487 -7.9051 799.5849 460.0576 935.2968 469.8350 945.1784 398.7993 809.4198 402.1889
-0.9119 8.3280 -8.6902 604.1538 612.4635 719.5548 616.7589 764.6941 541.2345 579.1379 541.1336
-5.1262 -10.4748 1.3513 584.0312 136.1893 571.3703 141.5520 512.7657 170.8757 661.7570 166.8739
8.3566 9.6653 5.7168 961.0158 567.7564 734.8791 578.7035 788.4836 649.8083 926.0852 649.1263
-11.4529 -1.5116 -4.7463 410.4515 372.6575 493.3966 373.7024 484.9948 343.9339 438.5710 338.5904
8.3552 2.7057 -3.2617 835.0045 455.9564 858.3800 465.1503 873.0411 442.7687 839.9745 445.1437
-14.7711 -7.3284 -8.5822 284.2555 261.6457 489.5770 264.4456 449.0486 196.2721 343.0233 185.4625
-15.5410 12.7788 -0.3690 415.5207 679.1775 321.8381 670.3580 394.0570 684.7749 366.5510 687.0392
-3.9396 2.6492 -6.9146 548.5731 476.4346 654.6258 479.3445 669.1140 424.2155 554.2547 422.9585
-23.4835 -0.4112 -0.3771 215.3655 376.8773 206.0868 373.6359 203.7385 393.1440 237.5556 384.1203
-6.0040 9.8334 5.7796 674.2331 576.4125 444.4307 577.1009 500.1425 653.3512 639.4906 653.8858
-6.7713 -12.2260 -0.4033 525.9046 106.2757 564.2430 112.1108 495.9861 123.1791 612.8080 117.3110
11.2381 3.3011 1.7268 952.0805 443.1860 857.8863 453.6168 875.9242 482.5795 953.4349 484.9923
-5.0169 -10.1467 -8.2037 477.9365 195.7714 683.0742 200.5980 627.6753 131.3554 552.5078 127.1305
10.5445 10.6384 -8.1145 843.3086 656.9144 936.7802 670.9969 993.5138 595.6700 804.7504 595.8220
14.3482 -12.3972 0.8980 958.7710 96.6633 973.5997 99.6088 906.3381 116.4821 1048.9451 128.8737
10.2485 6.2991 -5.3883 857.2764 546.5872 911.3885 558.3998 945.2333 512.5828 842.3796 514.2252
-11.8120 5.9644 3.6129 519.5885 500.2394 366.6255 498.4326 400.5024 554.7133 506.8670 553.6621
-15.0504 -8.8924 7.0757 452.5010 140.0229 304.2352 145.9840 253.0585 238.8611 521.4771 228.8032
10.0511 11.3474 -7.0110 848.4881 667.6806 912.2877 681.5416 973.0221 617.6258 805.8973 617.3850
-1.5910 10.5516 -3.5831 655.6071 637.9353 640.8294 641.6262 698.8268 618.3219 617.8836 618.3625
-23.2045 -8.9541 0.1787 204.7528 177.0350 229.1414 181.9961 177.9555 205.9609 272.5346 189.0707
18.6010 -8.2149 -7.7099 951.9001 235.1437 1146.6276 242.1148 1103.3482 168.0712 1017.6674 182.2202
21.1320 11.1816 -5.9380 1075.6168 654.1074 1127.7948 677.4273 1186.7233 619.9228 1032.8350 619.3364
-16.5460 -10.1410 -5.5692 274.3341 181.6921 428.1040 186.5302 371.4597 148.9646 348.2430 135.3680
22.5027 -0.3363 4.7578 1196.9258 343.9535 1065.4659 355.8753 1063.6475 413.5083 1218.8685 421.0501
8.6027 11.4593 -0.8693 892.5179 640.9770 811.9002 653.1926 874.3549 653.9140 848.4517 653.1556
-3.4040 4.5784 4.6142 698.4390 460.9063 524.9923 464.1685 550.7585 528.4458 692.9285 527.9839
-7.6879 11.5777 8.5998 678.2375 603.0641 372.0472 602.1615 438.2735 708.1557 633.4754 709.6056
